Gas Timepoint,Ethane,Helium,Nitrous Oxide,Sulfur Hexafluoride,Methane
2,0,0,0.000758746,0,0.000308613
20,0,0,0.001771199,0,0.001274028
41,0,0,0.065585254,0,0.015882804
67,0,0.121659171,0.484563006,0.403343456,0.221017006
81,0.44983417,0.223719746,0.654162993,0.492933228,0.346920793
101,0.550236152,0.33568225,0.831113763,0.625242899,0.510233418
123,0.599391469,0.437326443,0.92934427,0.66051654,0.63050708
141,0.599871767,0.394721512,0.857988695,0.643636426,0.579020481
161,0.75601739,0.577318584,1.032742027,0.788789955,0.774337986
182,0.760080744,0.574659548,1.040572488,0.787650771,0.803665023
200,0.846617238,0.685743115,1.075579279,0.887867192,0.869299702
231,0.798371406,0.668196878,1.04198605,0.860303407,0.870538325
273,0.8005916,0.675873514,0.986137987,0.829468943,0.875423775
317,0.811690749,0.692858639,0.959969627,0.849958182,0.871237621
368,0.852141286,0.742873791,0.962123355,0.894675271,0.903629957
419,0.917580055,0.810657588,1.003857591,0.946030179,0.932025887
467,0.968982592,0.934646413,1.056167261,0.986247171,0.964097759
525,0.928837531,0.807974392,0.974490529,0.919030113,0.924657676
591,0.897934762,0.779431192,0.975049907,0.871932108,0.905377414
653,0.9093311,0.751650459,0.960294159,0.900124375,0.888986343
722,0.938014775,0.801189086,0.974885121,0.930225653,0.905931615
