Time (min),DO (mg/L)
0,3.8556
8,3.8052
18,3.7296
28,3.654
38,3.5112
48,3.3096
58,3.0996
68,2.9232
78,2.7552
88,2.5788
98,2.4108
108,2.2344
118,2.1
128,2.0412
138,1.89
148,1.7556
158,1.6044
168,1.4448
178,1.3188
188,1.2012
198,1.092
208,0.9828
218,0.8988
228,0.8064
238,0.7224
248,0.6132
258,0.4872
268,0.3864
278,0.3024
288,0.2268
298,0.2016
308,0.1092
318,0.0672
328,0.0252
339,0
349,0
359,0
369,0
379,0
389,0
399,0
409,0
419,0
429,0
439,0
449,0
459,0
469,0
479,0
489,0
499,0
509,0
519,0
529,0
539,0
549,0
559,0
569,0
579,0
589,0
599,0
609,0
619,0
629,0
639,0
649,0
659,0
669,0
679,0
689,0
699,0
709,0
719,0
729,0
739,0
749,0
759,0
769,0
779,0
789,0
799,0
809,0
819,0
830,0
840,0
850,0
860,0
870,0
880,0
890,0
900,0
910,0
920,0
930,0
940,0
950,0
960,0
970,0
980,0
