Time,Ethane,Helium,N2O,SF6,Methane
1,0,0,0,0,0
21,0,0,0,0,0.000507278
41,0,0,0,0,0.000715554
61,0.215822773,0,0.110068349,0,0.055998912
81,0.546697577,0.27102957,0.802580756,0.460312433,0.534383969
102,0.713853294,0.365275317,0.883660555,0.562347003,0.666858528
122,0.731641931,0.464537031,0.911800127,0.655498385,0.77433547
142,0.838888273,0.52202259,0.906377953,0.771218368,0.840178972
161,0.873493045,0.583332058,0.906101655,0.723705263,0.877351484
184,0.82848992,0.59123353,0.869544443,0.78390012,0.868249979
212,0.907068716,0.69645192,0.942284619,0.892463654,0.942823889
241,0.894252103,0.699188032,0.968759521,0.835451426,0.943574129
270,0.887748877,0.707938399,0.940768341,0.85666308,0.952970421
303,0.961903964,0.776795062,0.959040409,0.943862135,0.981942737
332,0.984405053,0.826774205,0.958059095,0.919618153,0.99644913
391,0.911015995,0.835160381,0.973733277,1.032316023,0.983585903
419,0.892821711,0.841559453,0.963352273,0.929941129,0.970200088
478,1.082342932,0.942722215,1.026340152,1.027312077,1.040408915
540,1.003213183,0.906364727,0.974316972,1.014041283,1.012267757
602,1.008147263,0.881500976,0.975283923,1.029294105,0.992350275
